Name,Group,Times,Language,Hours
Introduction to business administration,61,[Fri: 16:15-17:45, Mon: 18:00-19:30],English,6
Introduction to business administration,68,[Fri: 16:15-17:45, Wed: 18:00-19:30],English,6
Principles of Economics,60,[Fri: 16:15-17:45, Tue: 16:15-17:45],English,6
Principles of Economics,61,[Fri: 18:00-19:30, Tue: 16:15-17:45],English,6
Economic History,33,[Fri: 09:00-10:30, Thu: 14:30-16:00],English,6
Macroeconomics,68,[Fri: 12:30-14:00, Tue: 12:30-14:00],English,6
Macroeconomics,69,[Fri: 12:30-14:00, Tue: 09:00-10:30],English,6
Statistics II,60,[Fri: 10:45-12:15, Tue: 10:45-12:15],English,6
Statistics II,61,[Fri: 10:45-12:15, Tue: 12:30-14:00],English,6
Statistics II,33,[Fri: 18:00-19:30, Mon: 14:30-16:00],English,6
Game Theory,33,[Fri: 16:15-17:45, Mon: 18:00-19:30],English,6
Microeconomic Theory,60,[Fri: 09:00-10:30, Mon: 10:45-12:15],English,6
Microeconomic Theory,61,[Fri: 09:00-10:30, Mon: 12:30-14:00],English,6
Microeconomic Theory,33,[Fri: 10:45-12:15, Tue: 12:30-14:00],English,6
Microeconomic Theory,68,[Fri: 10:45-12:15, Mon: 10:45-12:15],English,6
Microeconomic Theory,69,[Fri: 10:45-12:15, Mon: 09:00-10:30],English,6
Financial Economics,33,[Fri: 14:30-16:00, Mon: 16:15-17:45],English,6
Econometric Techniques,60,[Fri: 10:45-12:15, Tue: 09:00-10:30],English,6
Econometric Techniques,61,[Fri: 12:30-14:00, Tue: 09:00-10:30],English,6
Econometric Techniques,33,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Econometric Techniques,68,[Fri: 16:15-17:45, Tue: 18:00-19:30],English,6
Public Economics,60,[Fri: 12:30-14:00, Tue: 10:45-12:15],English,6
Public Economics,61,[Fri: 10:45-12:15, Tue: 10:45-12:15],English,6
Markets and Environment,60,[Fri: 19:45-21:15, Wed: 19:45-21:15],English,6
Labor Economics,60,[Fri: 14:30-16:00, Mon: 10:45-12:15],English,6
Labor Economics,61,[Fri: 16:15-17:45, Mon: 10:45-12:15],English,6
Economic Growth,60,[Fri: 18:00-19:30, Wed: 16:15-17:45],English,6
Economic Growth,61,[Fri: 16:15-17:45, Wed: 16:15-17:45],English,6
Introduction to patrimonial law,20,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Introduction to business administration,20,[Fri: 10:45-12:15, Tue: 12:30-14:00],English,6
Financial Mathematics,20,[Fri: 12:30-14:00, Tue: 10:45-12:15],English,6
Management and Organization,20,[Fri: 14:30-16:00, Mon: 18:00-19:30],English,6
Commercial Law,20,[Fri: 16:15-17:45, Tue: 18:00-19:30],English,6
Financial Accounting I,20,[Fri: 18:00-19:30, Mon: 14:30-16:00],English,6
Auditing financial statements,20,[Fri: 16:15-17:45, Thu: 16:15-17:45],English,6
Corporate governance and social responsibility,20,[Fri: 19:45-21:15, Thu: 18:00-19:30],English,6
Corporate governance and social responsibility,25,[Fri: 18:00-19:30, Thu: 18:00-19:30],English,6
Development of IT applications for business,20,[Tue: 16:15-17:45, Fri: 14:30-16:00, Tue: 16:15-17:45],English,6
Topics in advanced Econometrics,60,[Fri: 16:15-17:45, Tue: 16:15-17:45],English,6
Research Seminar,45,[Fri: 12:30-14:00, Mon: 12:30-14:00],English,6
Comparative Politics,55,[Fri: 10:45-12:15, Tue: 10:45-12:15],English,6
Comparative Politics,56,[Fri: 12:30-14:00, Tue: 10:45-12:15],English,6
Comparative Politics,58,[Fri: 16:15-17:45, Wed: 18:00-19:30],English,6
Comparative Politics,18,[Fri: 19:45-21:15, Wed: 18:00-19:30],English,6
Comparative Politics,118,[Fri: 18:00-19:30, Wed: 18:00-19:30],English,6
Comparative Politics,68,[Fri: 18:00-19:30, Wed: 19:45-21:15],English,6
Comparative Politics,69,[Fri: 19:45-21:15, Wed: 19:45-21:15],English,6
Law methodology and culture,68,[Fri: 19:45-21:15, Tue: 14:30-16:00],English,6
Law methodology and culture,69,[Fri: 16:15-17:45, Tue: 14:30-16:00],English,6
Comparative Sociology,55,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Comparative Sociology,56,[Fri: 10:45-12:15, Tue: 09:00-10:30],English,6
Comparative Sociology,58,[Fri: 19:45-21:15, Wed: 16:15-17:45],English,6
Comparative Sociology,45,[Fri: 12:30-14:00, Tue: 09:00-10:30],English,6
Comparative Sociology,18,[Fri: 18:00-19:30, Wed: 16:15-17:45],English,6
Comparative Sociology,118,[Fri: 16:15-17:45, Wed: 16:15-17:45],English,6
International economics: economic integration,58,[Fri: 10:45-12:15, Tue: 09:00-10:30],English,6
International economics: economic integration,18,[Fri: 12:30-14:00, Tue: 09:00-10:30],English,6
International economics: economic integration,118,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Public International Law,68,[Fri: 09:00-10:30, Tue: 10:45-12:15],English,6
Public International Law,69,[Fri: 09:00-10:30, Tue: 12:30-14:00],English,6
International political economy,55,[Fri: 14:30-16:00, Tue: 14:30-16:00],English,6
International political economy,56,[Fri: 14:30-16:00, Tue: 18:00-19:30],English,6
International political economy,58,[Fri: 12:30-14:00, Tue: 12:30-14:00],English,6
International political economy,45,[Fri: 09:00-10:30, Tue: 10:45-12:15],English,6
International political economy,18,[Fri: 10:45-12:15, Tue: 12:30-14:00],English,6
International political economy,68,[Fri: 18:00-19:30, Tue: 16:15-17:45],English,6
Cooperation, collective action and formal models of strategy,55,[Fri: 16:15-17:45, Tue: 16:15-17:45],English,6
Cooperation, collective action and formal models of strategy,56,[Fri: 16:15-17:45, Tue: 19:45-21:15],English,6
Cooperation, collective action and formal models of strategy,58,[Fri: 09:00-10:30, Tue: 10:45-12:15],English,6
Cooperation, collective action and formal models of strategy,45,[Fri: 18:00-19:30, Tue: 18:00-19:30],English,6
Cooperation, collective action and formal models of strategy,18,[Fri: 19:45-21:15, Tue: 18:00-19:30],English,6
Security, peace and conflicts resolution,58,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Multidisciplinary Seminar on International Studies,55,[Fri: 10:45-12:15, Tue: 12:30-14:00],English,6
Multidisciplinary Seminar on International Studies,45,[Fri: 14:30-16:00, Wed: 16:15-17:45],English,6
Human Rights,55,[Fri: 09:00-10:30, Mon: 12:30-14:00],English,6
Human Rights,56,[Fri: 12:30-14:00, Mon: 12:30-14:00],English,6
Human Rights,68,[Fri: 09:00-10:30, Tue: 09:00-10:30],English,6
Topics in international politics,45,[Fri: 09:00-10:30, Mon: 10:45-12:15],English,6
Topics in international politics,68,[Fri: 10:45-12:15, Tue: 10:45-12:15],English,6
Mutidisciplinary seminar on globalization,58,[Fri: 12:30-14:00, Mon: 09:00-10:30],English,6
Mutidisciplinary seminar on globalization,45,[Fri: 10:45-12:15, Mon: 09:00-10:30],English,6
Corruption and Accountability,55,[Fri: 18:00-19:30, Wed: 18:00-19:30],English,6
Corruption and Accountability,56,[Fri: 18:00-19:30, Wed: 16:15-17:45],English,6
Transitional justice and democratization,55,[Fri: 16:15-17:45, Tue: 16:15-17:45],English,6
Transitional justice and democratization,56,[Fri: 16:15-17:45, Tue: 18:00-19:30],English,6
New movements and transnational actors,55,[Fri: 14:30-16:00, Tue: 14:30-16:00],English,6
New movements and transnational actors,56,[Fri: 14:30-16:00, Tue: 10:45-12:15],English,6
Emerging countries,55,[Fri: 19:45-21:15, Tue: 18:00-19:30],English,6
Emerging countries,56,[Fri: 19:45-21:15, Tue: 16:15-17:45],English,6
Information retrieval systems,20,[Fri: 10:45-12:15, Fri: 12:30-14:00],English,6
Basics of Information Technology,82,[Fri: 10:45-12:15, Wed: 10:45-12:15],English,6
Basics of Information Technology,83,[Fri: 10:45-12:15, Wed: 12:30-14:00],English,6
Operations and Supply Chain,82,[Fri: 16:15-17:45, Tue: 16:15-17:45, Tue: 16:15-17:45, Tue: 16:15-17:45],English,6
Operations and Supply Chain,83,[Fri: 16:15-17:45, Tue: 19:45-21:15],English,6
Statistical Learning,82,[Fri: 18:00-19:30, Wed: 19:45-21:15],English,6
E-Commerce,82,[Fri: 19:45-21:15, Thu: 14:30-16:00],English,6
Organizational Design,82,[Fri: 16:15-17:45, Wed: 16:15-17:45],English,6
Macroeconomics,182,[Fri: 10:45-12:15, Wed: 12:30-14:00],English,6
Digital Product Development,82,[Fri: 14:30-16:00, Tue: 14:30-16:00],English,6
Introduction to Political Science,70,[Fri: 10:45-12:15, Fri: 12:30-14:00],English,6
Mass Media Theory,80,[Fri: 09:00-10:30, Fri: 10:45-12:15],English,6
Statistics II,82,[Fri: 18:00-19:30, Tue: 19:45-21:15],English,6
Statistics II,83,[Fri: 18:00-19:30, Tue: 18:00-19:30],English,6
